family,method,mean_ratio,std_ratio,sem_ratio,ci_lower,ci_upper,mean_cut_value,mean_runtime_sec,mean_n_objective_evaluations,n_instances,budget_reference
communication_mesh_8_3,goemans_williamson,0.9999582974159033,0.00010215005199230344,3.860909056913613e-05,0.99987489224771,1.0,5.005215245106792,0.06368735858372279,,7,sdp_rounding
communication_mesh_8_3,greedy,0.9506384334277286,0.08576287078515264,0.032415318260068667,0.8821619190649531,0.9953356871510677,4.747835121095478,0.0005263941628592354,,7,deterministic_greedy
communication_mesh_8_3,hill_climb_budget_matched,0.9962296542830175,0.007480905199913641,0.0028275163915173467,0.9900435758735038,1.0,4.984305587216684,0.0005234990801130022,40.0,7,qaoa_objective_evaluations
communication_mesh_8_3,local_search,0.9907867011889296,0.020576909676713433,0.007777340822117461,0.9737981217594334,0.9999593399805059,4.96139146035366,0.0004724428290501237,,7,fixed_local_search_iterations
communication_mesh_8_3,qaoa_tuned,0.7828074848636701,0.08828694272718653,0.03336932778147688,0.7118332188073194,0.843752617864341,3.914412592005564,0.9683007512773786,40.0,7,qaoa_objective_evaluations
communication_mesh_8_3,random_budget_matched,0.9383618489208226,0.07991956674007683,0.030206756926038903,0.8749432196788114,0.9851954485248294,4.679804593892847,0.0012297970908028738,40.0,7,qaoa_objective_evaluations
communication_mesh_8_3,random_cut,0.951547473741564,0.060581509112297635,0.022897658165733272,0.9018923020871319,0.9867755786331196,4.770078971966619,0.0019316673278808594,64.0,7,fixed_random_trials
d_regular_8_3,goemans_williamson,1.0,0.0,0.0,1.0,1.0,10.0,0.017093964985438755,,7,sdp_rounding
d_regular_8_3,greedy,0.9428571428571428,0.0903507902905251,0.03414938883812552,0.8857142857142856,1.0,9.428571428571429,0.00043078831263950894,,7,deterministic_greedy
d_regular_8_3,hill_climb_budget_matched,1.0,0.0,0.0,1.0,1.0,10.0,0.00043651035853794644,40.0,7,qaoa_objective_evaluations
d_regular_8_3,local_search,0.9714285714285714,0.0699854212223765,0.026452002850644318,0.9142857142857143,1.0,9.714285714285714,0.0004205285804346204,,7,fixed_local_search_iterations
d_regular_8_3,qaoa_tuned,0.8631698875699598,0.040125918864376754,0.015166171777585169,0.8317785713464766,0.892287440404489,8.631698875699596,0.8050589902060372,40.0,7,qaoa_objective_evaluations
d_regular_8_3,random_budget_matched,0.9285714285714287,0.04517539514526255,0.01707469441906276,0.9000000000000001,0.9571428571428573,9.285714285714286,0.001148087637765067,40.0,7,qaoa_objective_evaluations
d_regular_8_3,random_cut,0.9285714285714286,0.08806305718527108,0.033284707000612423,0.8571428571428571,0.9857142857142858,9.285714285714286,0.0017692702157156809,64.0,7,fixed_random_trials
erdos_renyi_8_0.5,goemans_williamson,1.0,0.0,0.0,1.0,1.0,10.142857142857142,0.016361474990844727,,7,sdp_rounding
erdos_renyi_8_0.5,greedy,0.9821428571428571,0.043740888263985325,0.016532501781652706,0.9464285714285714,1.0,10.0,0.0004126344408307757,,7,deterministic_greedy
erdos_renyi_8_0.5,hill_climb_budget_matched,1.0,0.0,0.0,1.0,1.0,10.142857142857142,0.000459705080304827,40.0,7,qaoa_objective_evaluations
erdos_renyi_8_0.5,local_search,0.941883116883117,0.07075091772965536,0.02674133333460838,0.8908847402597404,1.0,9.571428571428571,0.00033418574769582065,,7,fixed_local_search_iterations
erdos_renyi_8_0.5,qaoa_tuned,0.8340534437329102,0.042982763525185284,0.016245957564276887,0.8004748299108063,0.8649024458637549,8.432988782976471,0.8514268398284912,40.0,7,qaoa_objective_evaluations
erdos_renyi_8_0.5,random_budget_matched,0.9581668331668333,0.05008068581540618,0.018928720022160676,0.9204514235764236,1.0,9.714285714285714,0.0011710780007498606,40.0,7,qaoa_objective_evaluations
erdos_renyi_8_0.5,random_cut,0.9821428571428571,0.043740888263985325,0.016532501781652706,0.9464285714285714,1.0,10.0,0.001743316650390625,64.0,7,fixed_random_trials
